binder_name,pdb_model_name,binder_path,monomer_pdb,binder_complex_monomer_rmsd
BCMA_int_0003,BCMA_int_0003__BCMA_model_3,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_2/boltz_results_chunk_2/predictions/BCMA_int_0003__BCMA/BCMA_int_0003__BCMA_model_3.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_int_0003_model_4.0_r10_af2.pdb,1.503
BCMA_int_0003,BCMA_int_0003__BCMA_model_4,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_2/boltz_results_chunk_2/predictions/BCMA_int_0003__BCMA/BCMA_int_0003__BCMA_model_4.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_int_0003_model_4.0_r10_af2.pdb,1.554
BCMA_int_0003,BCMA_int_0003__BCMA_model_2,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_2/boltz_results_chunk_2/predictions/BCMA_int_0003__BCMA/BCMA_int_0003__BCMA_model_2.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_int_0003_model_4.0_r10_af2.pdb,1.506
BCMA_int_0003,BCMA_int_0003__BCMA_model_0,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_2/boltz_results_chunk_2/predictions/BCMA_int_0003__BCMA/BCMA_int_0003__BCMA_model_0.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_int_0003_model_4.0_r10_af2.pdb,1.498
BCMA_int_0003,BCMA_int_0003__BCMA_model_1,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_2/boltz_results_chunk_2/predictions/BCMA_int_0003__BCMA/BCMA_int_0003__BCMA_model_1.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_int_0003_model_4.0_r10_af2.pdb,1.434
BCMA_int_0004,BCMA_int_0004__BCMA_model_4,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_2/boltz_results_chunk_2/predictions/BCMA_int_0004__BCMA/BCMA_int_0004__BCMA_model_4.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_int_0004_model_4.0_r10_af2.pdb,1.26
BCMA_int_0004,BCMA_int_0004__BCMA_model_3,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_2/boltz_results_chunk_2/predictions/BCMA_int_0004__BCMA/BCMA_int_0004__BCMA_model_3.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_int_0004_model_4.0_r10_af2.pdb,1.699
BCMA_int_0004,BCMA_int_0004__BCMA_model_2,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_2/boltz_results_chunk_2/predictions/BCMA_int_0004__BCMA/BCMA_int_0004__BCMA_model_2.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_int_0004_model_4.0_r10_af2.pdb,1.105
BCMA_int_0004,BCMA_int_0004__BCMA_model_0,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_2/boltz_results_chunk_2/predictions/BCMA_int_0004__BCMA/BCMA_int_0004__BCMA_model_0.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_int_0004_model_4.0_r10_af2.pdb,1.213
BCMA_int_0004,BCMA_int_0004__BCMA_model_1,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_2/boltz_results_chunk_2/predictions/BCMA_int_0004__BCMA/BCMA_int_0004__BCMA_model_1.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_int_0004_model_4.0_r10_af2.pdb,1.12
BCMA_int_0005,BCMA_int_0005__BCMA_model_2,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_2/boltz_results_chunk_2/predictions/BCMA_int_0005__BCMA/BCMA_int_0005__BCMA_model_2.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_int_0005_model_4.0_r10_af2.pdb,0.713
BCMA_int_0005,BCMA_int_0005__BCMA_model_3,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_2/boltz_results_chunk_2/predictions/BCMA_int_0005__BCMA/BCMA_int_0005__BCMA_model_3.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_int_0005_model_4.0_r10_af2.pdb,0.716
BCMA_int_0005,BCMA_int_0005__BCMA_model_1,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_2/boltz_results_chunk_2/predictions/BCMA_int_0005__BCMA/BCMA_int_0005__BCMA_model_1.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_int_0005_model_4.0_r10_af2.pdb,0.699
BCMA_int_0005,BCMA_int_0005__BCMA_model_0,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_2/boltz_results_chunk_2/predictions/BCMA_int_0005__BCMA/BCMA_int_0005__BCMA_model_0.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_int_0005_model_4.0_r10_af2.pdb,0.829
